,name,address,rank,division,department
0,Humanities Division,www.humanities.ox.ac.uk,division,,
1,"American Institute, Rothermere",www.rai.ox.ac.uk,department,Humanities Division,
2,"Art, Ruskin School of",www.rsa.ox.ac.uk,department,Humanities Division,
3,"History, Ancient, and Classical Archaeology, Sub-faculty of",www.classics.ox.ac.uk,department,Humanities Division,
4,"English Language and Literature, Faculty of ",www.english.ox.ac.uk,department,Humanities Division,
5,"Changing Character of War, Programme on the",www.history.ox.ac.uk,department,Humanities Division,
6,"Art, History of, Department",www.hoa.ox.ac.uk,department,Humanities Division,
7,"Philology, and Phonetics; Faculty of Linguistics,",www.ling-phil.ox.ac.uk,department,Humanities Division,
8,"Greek, Medieval and Modern, Sub-faculty of",www.mod-langs.ox.ac.uk,department,Humanities Division,
9,"Music, Faculty of",www.music.ox.ac.uk,department,Humanities Division,
10,"Oriental Studies, Faculty of",www.orinst.ox.ac.uk,department,Humanities Division,
11,"Philosophy, Faculty of",www.philosophy.ox.ac.uk,department,Humanities Division,
12,"Theology and Religion, Faculty of",www.theology.ox.ac.uk,department,Humanities Division,
13,TORCH | The Oxford Research Centre in the Humanities,torch.ox.ac.uk,department,Humanities Division,
14,Voltaire Foundation,www.voltaire.ox.ac.uk,department,Humanities Division,
15,"Mathematical, Physical & Life Sciences Division",www.mpls.ox.ac.uk,division,,
16,Begbroke Science Park,www.begbroke.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
17,"Chemistry, Department of",www.chem.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
18,"Computer Science, Department of",www.cs.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
19,Doctoral Training Centre,www.dtc.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
20,"Earth Sciences, Department of ",www.earth.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
21,"Engineering Science, Department of ",www.eng.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
22,"Materials, Department of",www.materials.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
23,"Industrial and Applied Mathematics, Oxford Centre for - OCIAM",www.maths.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
24,"Particle Physics, Sub-department of",www.physics.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
25,"Plant Sciences, Department of",www.plants.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
26,"Statistics, Department of",www.stats.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
27,Edward Grey Institute of Field Ornithology ,www.zoo.ox.ac.uk,department,"Mathematical, Physical & Life Sciences Division",
28,"Doctoral Training Centre, Medical Sciences",www.medsci.ox.ac.uk,division,,
29,"Integrative Systems Biology Centre, Oxford",www.bioch.ox.ac.uk,department,Medical Sciences Division,
30,"Medicine, Clinical, Nuffield Department of",www.ndm.ox.ac.uk,department,Medical Sciences Division,
31,"Project to Investigate Memory and Ageing, The Oxford - OPTIMA",www.ndcn.ox.ac.uk,department,Medical Sciences Division,
32,"Experimental Psychology, Department of ",www.psy.ox.ac.uk,department,Medical Sciences Division,
33,"Medicine, Radcliffe Department of",www.rdm.ox.ac.uk,department,Medical Sciences Division,
34,"Oncology, Department of",www.oncology.ox.ac.uk,department,Medical Sciences Division,
35,"Orthopaedics, Rheumatology and Musculoskeletal Sciences, Nuffield Department of",www.ndorms.ox.ac.uk,department,Medical Sciences Division,
36,"Paediatrics, Department of",www.paediatrics.ox.ac.uk,department,Medical Sciences Division,
37,"Pathology, Sir William Dunn School of",www.path.ox.ac.uk,department,Medical Sciences Division,
38,"Pharmacology, Department of",www.pharm.ox.ac.uk,department,Medical Sciences Division,
39,"Physiology, Anatomy & Genetics, Department of",www.dpag.ox.ac.uk,department,Medical Sciences Division,
40,"Population Health, Nuffield Department of",www.ndph.ox.ac.uk,department,Medical Sciences Division,
41,"Primary Care Health Sciences, Nuffield Department of",www.phc.ox.ac.uk,department,Medical Sciences Division,
42,"Neuroscience, Cognitive, Centre for",www.psych.ox.ac.uk,department,Medical Sciences Division,
43,"Surgical Sciences, Nuffield Department of",www.nds.ox.ac.uk,department,Medical Sciences Division,
44,"Women's & Reproductive Health, Nuffield Department of",www.wrh.ox.ac.uk,department,Medical Sciences Division,
45,Social Sciences Division,www.socsci.ox.ac.uk,division,,
46,"Anthropology and Museum Ethnography, School of",www.anthro.ox.ac.uk,department,Social Sciences Division,
47,"Archaeology, School of",www.arch.ox.ac.uk,department,Social Sciences Division,
48,"Entrepreneurship, Social, Skoll Centre for ",www.sbs.ox.ac.uk,department,Social Sciences Division,
49,"Economies, Resource-Rich, Oxford Centre for the Analysis of ",www.economics.ox.ac.uk,department,Social Sciences Division,
50,"Education, Department of ",www.education.ox.ac.uk,department,Social Sciences Division,
51,"Geography and the Environment, School of",www.geog.ox.ac.uk,department,Social Sciences Division,
52,"Global and Area Studies, Oxford School of ",www.area-studies.ox.ac.uk,department,Social Sciences Division,
53,"Ethics, Law and Armed Conflict, Oxford Institute for ",www.bsg.ox.ac.uk,department,Social Sciences Division,
54,"Development, International, Department of (Queen Elizabeth House)",www.qeh.ox.ac.uk,department,Social Sciences Division,
55,"Internet Institute, Oxford",www.oii.ox.ac.uk,department,Social Sciences Division,
56,"Law, Faculty of",www.law.ox.ac.uk,department,Social Sciences Division,
57,"Future of the Mind, Institute for the",www.oxfordmartin.ox.ac.uk,department,Social Sciences Division,
58,"Quantitative Methods for Social Research, ESRC Oxford Spring School in",www.politics.ox.ac.uk,department,Social Sciences Division,
59,"Social Policy and Intervention, Department of",www.spi.ox.ac.uk,department,Social Sciences Division,
60,"Sociology, Department of",www.sociology.ox.ac.uk,department,Social Sciences Division,
61,Continuing Professional Development Centre (Department for Continuing Education),www.conted.ox.ac.uk,department,,
62,All Souls College,www.asc.ox.ac.uk,college,,
63,Balliol College,www.balliol.ox.ac.uk,college,,
64,Blackfriars,www.bfriars.ox.ac.uk,college,,
65,Brasenose College,www.bnc.ox.ac.uk,college,,
66,Campion Hall,www.campion.ox.ac.uk,college,,
67,Christ Church,www.chch.ox.ac.uk,college,,
68,Corpus Christi College,www.ccc.ox.ac.uk,college,,
69,Exeter College,www.exeter.ox.ac.uk,college,,
70,Green Templeton College,www.gtc.ox.ac.uk,college,,
71,Harris Manchester College,www.hmc.ox.ac.uk,college,,
72,Hertford College,www.hertford.ox.ac.uk,college,,
73,Jesus College,www.jesus.ox.ac.uk,college,,
74,Keble College,www.keble.ox.ac.uk,college,,
75,Kellogg College,www.kellogg.ox.ac.uk,college,,
76,Lady Margaret Hall,www.lmh.ox.ac.uk,college,,
77,Linacre College,www.linacre.ox.ac.uk,college,,
78,Lincoln College,www.lincoln.ox.ac.uk,college,,
79,Magdalen College,www.magd.ox.ac.uk,college,,
80,Mansfield College,www.mansfield.ox.ac.uk,college,,
81,Merton College,www.merton.ox.ac.uk,college,,
82,New College,www.new.ox.ac.uk,college,,
83,Nuffield College,www.nuffield.ox.ac.uk,college,,
84,Oriel College,www.oriel.ox.ac.uk,college,,
85,Pembroke College,www.pmb.ox.ac.uk,college,,
86,The Queen's College,www.queens.ox.ac.uk,college,,
87,Regent's Park College,www.rpc.ox.ac.uk,college,,
88,Reuben College,reuben.ox.ac.uk,college,,
89,St Anne's College,www.st-annes.ox.ac.uk,college,,
90,Russian and Eurasian Studies Centre (at St Antony's College),www.sant.ox.ac.uk,college,,
91,St Benet's Hall,www.st-benets.ox.ac.uk,college,,
92,St Catherine's College,www.stcatz.ox.ac.uk,college,,
93,St Cross College,www.stx.ox.ac.uk,college,,
94,St Edmund Hall,www.seh.ox.ac.uk,college,,
95,St Hilda's College,www.sthildas.ox.ac.uk,college,,
96,St Hugh's College,www.st-hughs.ox.ac.uk,college,,
97,St John's College,www.sjc.ox.ac.uk,college,,
98,St Peter's College,www.spc.ox.ac.uk,college,,
99,St Stephen's House,www.ssho.ox.ac.uk,college,,
100,Somerville College,www.some.ox.ac.uk,college,,
101,Trinity College,www.trinity.ox.ac.uk,college,,
102,University College,www.univ.ox.ac.uk,college,,
103,Wadham College,www.wadham.ox.ac.uk,college,,
104,Wolfson College,www.wolfson.ox.ac.uk,college,,
105,Worcester College,www.worc.ox.ac.uk,college,,
106,Wycliffe Hall,www.wycliffe.ox.ac.uk,college,,
107,Experimental Medicine,www.expmedndm.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
108,Oxford Big Data Institute,www.bdi.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
109,The Division of Structural Biology,www.strubi.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
110,"Pathogen Research, Peter Medawar Building for",www.medawar.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
111,NDM Research Building,www.ndmrb.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
112,Wellcome Trust,kemri-wellcome.org,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
113,Ludwig Cancer Research,www.ludwig.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
114,"Clinical Vaccinology and Tropical Medicine, Centre for",www.jenner.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
115,"Cellular and Molecular Physiology, Centre for",www.ccmp.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
116,Chinese Academy of Medical Sciences Oxford Institute,www.camsoxford.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
117,"Global Health, Centre for Tropical Medicine and",www.tropicalmedicine.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
118,MORU Tropical Health Network,www.tropmedres.ac,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
119,Oxford Centre for Global Health Research,www.tropicalmedicine.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
120,Centre for Medicines Discovery (CMD),www.cmd.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
121,"Genetics, Human, Wellcome Trust Centre for",www.well.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
122,Target Discovery Institute,www.tdi.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
123,Oxford Particle Imaging Centre,www.opic.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
124,OUCRU,www.oucru.org,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
125,Clinical BioManufacturing Facility,www.cbf.ox.ac.uk,unit,Medical Sciences Division,"Clinical Medicine, Nuffield Department of"
126,"Accelerator Science, John Adams Institute for",www.adams-institute.ac.uk,,,
127,"Supercomputing Centre, Oxford (now Advanced Research Computing)",www.arc.ox.ac.uk,,,
128,"Economies, African, Centre for the Study of ",www.csae.ox.ac.uk,,,
129,African Studies Centre,www.africanstudies.ox.ac.uk,,,
130,"Ageing, Population, Oxford Institute of",www.ageing.ox.ac.uk,,,
131,"Anaesthetics, Nuffield Department of",www.nda.ox.ac.uk,,,
132,"Anatomical Neuropharmacology Unit, MRC",mrcanu.pharm.ox.ac.uk,,,
133,"Ancient Documents, Centre for the Study of",www.csad.ox.ac.uk,,,
134,"Anthropology, Institute of Social and Cultural",www.isca.ox.ac.uk,,,
135,"Archaeology and the History of Art, Research Laboratory for",www.rlaha.ox.ac.uk,,,
136,"Archaeology, Institute of",www.archinst.ox.ac.uk,,,
137,"Greek and Roman Drama, Archive of Performances of",www.apgrd.ox.ac.uk,,,
138,"Archives, Oxford University",www.oua.ox.ac.uk,,,
139,"Art and Material Culture of the Middle East, Khalili Research Centre for the",krc.web.ox.ac.uk,,,
140,Ashmolean Museum of Art & Archaeology,www.ashmolean.org,,,
141,"Astrophysics, Sub-department of",www-astro.physics.ox.ac.uk,,,
142,"Atmospheric, Oceanic, and Planetary Physics, Sub-department of",www.atm.ox.ac.uk,,,
143,"Theoretical Physics, Rudolf Peierls Centre for",www2.physics.ox.ac.uk,,,
144,Beazley Archive ,www.beazley.ox.ac.uk,,,
145,"Engineering, Biomedical, Oxford Institute of ",www.ibme.ox.ac.uk,,,
146,Botanic Garden,www.botanic-garden.ox.ac.uk,,,
147,Brain Network Dynamics Unit (MRC),www.mrcbndu.ox.ac.uk,,,
148,Brazilian Studies Programme,www.brazil.ox.ac.uk,,,
149,"Business Economics Programme, Oxford University",oubep.econ.ox.ac.uk,,,
150,"Epidemiology Unit, Cancer Research UK ",www.ceu.ox.ac.uk,,,
151,"Carbon and Energy Reduction in Transport, Institute for",www.icert.ox.ac.uk,,,
152,"Cardiovascular Medicine, Division of",www.cardiov.ox.ac.uk,,,
153,Careers Service,www.careers.ox.ac.uk,,,
154,"Chemical Biology, Laboratory",bayley.chem.ox.ac.uk,,,
155,"Crystallography, Chemical, Laboratory",www.xtl.ox.ac.uk,,,
156,"China Studies Programme, Contemporary",www.ccsp.ox.ac.uk,,,
157,China Centre,www.chinacentre.ox.ac.uk,,,
158,"Climate Impacts Programme, UK",www.ukcip.org.uk,,,
159,"Clinical Laboratory Sciences, Nuffield Division of",www.ndcls.ox.ac.uk,,,
160,"Neurology, Clinical, Department of",www.clneuro.ox.ac.uk,,,
161,"Epidemiological Studies Unit, Clinical Trial Service Unit (CTSU) & ",www.ctsu.ox.ac.uk,,,
162,"Comparative Media Law and Policy, Programme in",pcmlp.socleg.ox.ac.uk,,,
163,"Migration, Policy and Society, Centre on - COMPAS",www.compas.ox.ac.uk,,,
164,Computational Biology Group,www.cbrg.ox.ac.uk,,,
165,Oxford University Press,www.ox.ac.uk,,,
166,"Criminology, Centre for",www.crim.ox.ac.uk,,,
167,"Diabetes, Endocrinology & Metabolism, Oxford Centre for (OCDEM)",www.ocdem.ox.ac.uk,,,
168,Diabetes Trials Unit,www.dtu.ox.ac.uk,,,
169,Online and Distance Learning (Department for Continuing Education),onlinecourses.conted.ox.ac.uk,,,
170,"Doctoral Training Centre, Life Sciences Interface",www.lsidtc.ox.ac.uk,,,
171,e-Horizons Institute ,www.e-horizons.ox.ac.uk,,,
172,"E-Research Centre, Oxford ",www.oerc.ox.ac.uk,,,
173,"Economic Governance Programme, Global ",www.globaleconomicgovernance.org,,,
174,"Enterprise and the Environment, Smith School for ",www.smithschool.ox.ac.uk,,,
175,"Environment, School of Geography and the ",www.ouce.ox.ac.uk,,,
176,Environmental Change Institute ,www.eci.ox.ac.uk,,,
177,"Epidemiology, Health-Care, Unit of ",www.uhce.ox.ac.uk,,,
178,"Epidemiology, National Perinatal Unit of ",www.npeu.ox.ac.uk,,,
179,Ethox Centre,www.ethox.ox.ac.uk,,,
180,"European and Comparative Law, Institute of ",www.iecl.ox.ac.uk,,,
181,European Humanities Research Centre ,www.ehrc.ox.ac.uk,,,
182,"Evidence-Based Medicine, Centre for ",www.cebm.net,,,
183,"Functional Magnetic Resonance Imaging of the Brain, Oxford Centre for - FMRIB",www.fmrib.ox.ac.uk,,,
184,"Future of Humanity Institute, Oxford",www.fhi.ox.ac.uk,,,
185,"Gender Studies Centre, International",www.warandpeace.ox.ac.uk,,,
186,"Genomics and Global Health, MRC Centre for",www.cggh.org,,,
187,"Global Leaders Fellowship Programme, Oxford-Princeton",www.geg.ox.ac.uk,,,
188,"Greek Personal Names, Lexicon of",www.lgpn.ox.ac.uk,,,
189,Griffith Institute,www.griffith.ox.ac.uk,,,
190,Health Economics Research Centre,www.herc.ox.ac.uk,,,
191,"History of Science, Medicine, and Technology, Oxford Centre for the",www.hsmt.ox.ac.uk,,,
192,History of Science Museum,www.hsm.ox.ac.uk,,,
193,"Human Sciences, Institute of",www.ihs.ox.ac.uk,,,
194,"Ramsey, Ian, Centre for Science and Religion",www.ianramseycentre.info,,,
195,Innovation (Oxford University Innovation),innovation.ox.ac.uk,,,
196,"Portuguese Language, Instituto Camões Centre for",www.clpic.ox.ac.uk,,,
197,"Intellectual Property Research Centre, Oxford (at St Peter's College)",www.oiprc.ox.ac.uk,,,
198,"Migration Institute, International",www.imi.ox.ac.uk,,,
199,International Programmes (Department for Continuing Education),international.conted.ox.ac.uk,,,
200,Investigative Medicine Division,www.imd.ox.ac.uk,,,
201,"Japanese Studies, Nissan Institute of",www.nissan.ox.ac.uk,,,
202,Oxford Centre for Hebrew and Jewish Studies (RIC),www.ochjs.ac.uk,,,
203,"Journalism, Reuters Institute for the Study of",reutersinstitute.politics.ox.ac.uk,,,
204,Kennedy Institute,www.kennedy.ox.ac.uk,,,
205,Language Centre,www.lang.ox.ac.uk,,,
206,Latin American Centre,www.lac.ox.ac.uk,,,
207,"Learning Institute, Oxford",www.learning.ox.ac.uk,,,
208,Libraries (Oxford University Library Services),www.bodleian.ox.ac.uk,,,
209,"Lifelong Learning, Technology-Assisted (Department for Continuing Education)",www.tall.ox.ac.uk,,,
210,Medical Sciences Teaching Centre,www.mstc.ox.ac.uk,,,
